;Location;Name;Rank;URL;City;State
0;"
        San Antonio, TX
    ";Trinity University;1;https://www.usnews.com/best-colleges/trinity-university-texas-3647;        San Antonio; TX    
1;"
        Santa Clara, CA
    ";Santa Clara University;2;https://www.usnews.com/best-colleges/santa-clara-1326;        Santa Clara; CA    
2;"
        Los Angeles, CA
    ";Loyola Marymount University;3;https://www.usnews.com/best-colleges/loyola-marymount-11649;        Los Angeles; CA    
3;"
        Spokane, WA
    ";Gonzaga University;4;https://www.usnews.com/best-colleges/gonzaga-university-3778;        Spokane; WA    
4;"
        Oakland, CA
    ";Mills College;5;https://www.usnews.com/best-colleges/mills-college-1238;        Oakland; CA    
5;"
        Orange, CA
    ";Chapman University;6;https://www.usnews.com/best-colleges/chapman-university-1164;        Orange; CA    
6;"
        Portland, OR
    ";University of Portland;7;https://www.usnews.com/best-colleges/university-of-portland-3224;        Portland; OR    
7;"
        Seattle, WA
    ";Seattle University;8;https://www.usnews.com/best-colleges/seattle-university-3790;        Seattle; WA    
8;"
        San Luis Obispo, CA
    ";California Polytechnic State University--San Luis Obispo;9;https://www.usnews.com/best-colleges/cal-poly-1143;        San Luis Obispo; CA    
9;"
        Moraga, CA
    ";St. Mary's College of California;10;https://www.usnews.com/best-colleges/saint-marys-college-1302;        Moraga; CA    
10;"
        Spokane, WA
    ";Whitworth University;11;https://www.usnews.com/best-colleges/whitworth-university-3804;        Spokane; WA    
11;"
        Irving, TX
    ";University of Dallas;12;https://www.usnews.com/best-colleges/university-of-dallas-3651;        Irving; TX    
12;"
        Redlands, CA
    ";University of Redlands;13;https://www.usnews.com/best-colleges/university-of-redlands-1322;        Redlands; CA    
13;"
        Austin, TX
    ";St. Edward's University;14;https://www.usnews.com/best-colleges/st-edwards-university-3621;        Austin; TX    
14;"
        Tacoma, WA
    ";Pacific Lutheran University;15;https://www.usnews.com/best-colleges/pacific-lutheran-3785;        Tacoma; WA    
15;"
        Thousand Oaks, CA
    ";California Lutheran University;16;https://www.usnews.com/best-colleges/cal-lutheran-1133;        Thousand Oaks; CA    
16;"
        San Diego, CA
    ";Point Loma Nazarene University;17;https://www.usnews.com/best-colleges/point-loma-nazarene-university-1262;        San Diego; CA    
17;"
        Abilene, TX
    ";Abilene Christian University;18;https://www.usnews.com/best-colleges/abilene-christian-3537;        Abilene; TX    
18;"
        Bellingham, WA
    ";Western Washington University;19;https://www.usnews.com/best-colleges/western-washington-3802;        Bellingham; WA    
19;"
        Salt Lake City, UT
    ";Westminster College;20;https://www.usnews.com/best-colleges/westminster-college-utah-3681;        Salt Lake City; UT    
