,Address,Location
0,"49 E 95TH ST,Chicago,IL","(41.7217117, -87.62223329999999)"
1,"4651 W MADISON ST,Chicago,IL","(41.880139, -87.7421358)"
2,"5410 S STATE ST,Chicago,IL","(41.795957, -87.626323)"
3,"11250 S ADA ST,Chicago,IL","(41.6884623, -87.6558601)"
4,"7535 S DOBSON AVE,Chicago,IL","(41.7575678, -87.5992536)"
5,"1919 N SEMINARY AVE,Chicago,IL","(41.9164818, -87.6550877)"
6,"10810 S AVE H,Chicago,IL","(41.6985287, -87.53319479999999)"
7,"1301 W 14TH ST,Chicago,IL","(41.8629807, -87.6596682)"
8,"3300 N CAMPBELL AVE,Chicago,IL","(41.9421323, -87.6914608)"
9,"8959 S BEVERLY AVE,Chicago,IL","(41.730453, -87.6679606)"
10,"2851 N SEMINARY AVE,Chicago,IL","(41.93397239999999, -87.6558124)"
11,"2257 E 71ST ST,Chicago,IL","(41.7660249, -87.5692242)"
12,"2133 N MCVICKER AVE,Chicago,IL","(41.918921, -87.776404)"
13,"3630 S WELLS ST,Chicago,IL","(41.8278882, -87.6329602)"
14,"5510 W FULLERTON AVE,Chicago,IL","(41.9242896, -87.76403359999999)"
15,"5235 S CORNELL AVE,Chicago,IL","(41.8002895, -87.5849758)"
16,"3545 W FULTON AVE,Chicago,IL","(41.8859035, -87.7154043)"
17,"5039 N KIMBALL AVE,Chicago,IL","(41.9733858, -87.71350439999999)"
18,"4929 N SAWYER AVE,Chicago,IL","(41.9711021, -87.7094221)"
19,"2625 N ORCHARD ST,Chicago,IL","(41.9296481, -87.6459706)"
20,"630 E 131ST ST,Chicago,IL","(41.6574136, -87.6074687)"
21,"2941 N WASHTENAW AVE,Chicago,IL","(41.9351308, -87.6952606)"
22,"2234 W 115TH ST,Chicago,IL","(41.6841712, -87.677566)"
23,"1251 N PARKSIDE AVE,Chicago,IL","(41.9036405, -87.76667119999999)"
24,"515 S WASHTENAW AVE,Chicago,IL","(41.8747358, -87.693715)"
25,"1340 W 71ST ST,Chicago,IL","(41.7649924, -87.65798830000001)"
26,"1920 N HAMLIN AVE,Chicago,IL","(41.9161874, -87.72246299999999)"
27,"6200 W BLOOMINGDALE AVE,Chicago,IL","(41.9133813, -87.78027480000002)"
28,"5110 N DAMEN AVE,Chicago,IL","(41.9750909, -87.6803091)"
29,"4770 S DORCHESTER AVE,Chicago,IL","(41.8083167, -87.5922259)"
30,"1148 N HONORE ST,Chicago,IL","(41.9024109, -87.67430440000001)"
31,"3748 S PRAIRIE AVE,Chicago,IL","(41.8268008, -87.6204427)"
32,"6315 S CLAREMONT AVE,Chicago,IL","(41.77816680000001, -87.6822552)"
33,"5233 N ASHLAND AVE,Chicago,IL","(41.9770899, -87.669264)"
34,"2032 N CLYBOURN,Chicago,IL","(41.918509, -87.6602796)"
35,"3750 E 112TH ST,Chicago,IL","(41.6922803, -87.5319701)"
36,"3121 N PULASKI RD,Chicago,IL","(41.9379315, -87.72677089999999)"
37,"3121 N PULASKI RD,Chicago,IL","(41.9379315, -87.72677089999999)"
38,"900 W WILSON AVE,Chicago,IL","(41.9660193, -87.6521886)"
39,"11144 S ST LAWRENCE AVE,Chicago,IL","(41.6916659, -87.6083809)"
40,"4901 S KILBOURN AVE,Chicago,IL","(41.80400969999999, -87.7357124)"
41,"1119 E 46TH ST,Chicago,IL","(41.8109791, -87.59842119999999)"
42,"950 W 33RD PL,Chicago,IL","(41.8340484, -87.6500959)"
43,"3309 S SHIELDS AVE,Chicago,IL","(41.83417439999999, -87.6350089)"
44,"911 W 32ND PL,Chicago,IL","(41.8356259, -87.6490097)"
45,"4433 S ST LAWRENCE,Chicago,IL","(41.814061, -87.6109949)"
46,"2111 W ESTES AVE,Chicago,IL","(42.0111743, -87.68441969999999)"
47,"5345 W CONGRESS PKWY,Chicago,IL","(41.8735966, -87.7592027)"
48,"1250 W LEXINGTON ST,Chicago,IL","(41.8722099, -87.6588229)"
49,"8300 S ST LOUIS AVE,Chicago,IL","(41.7418901, -87.7099618)"
50,"3345 W 83RD ST,Chicago,IL","(41.7421401, -87.7067141)"
51,"8505 S INGLESIDE AVE,Chicago,IL","(41.7400343, -87.6009832)"
52,"4807 W GUNNISON ST,Chicago,IL","(41.9688535, -87.74817329999999)"
53,"4237 S WABASH AVE,Chicago,IL","(41.8172197, -87.6246682)"
54,"4639 N KENMORE AVE,Chicago,IL","(41.9664747, -87.6558529)"
55,"3546 W ADDISON ST,Chicago,IL","(41.9467205, -87.7169804)"
56,"406 W WINNECONNA PKWY,Chicago,IL","(41.753072, -87.63495499999999)"
57,"3500 N HOYNE AVE,Chicago,IL","(41.9453833, -87.6811506)"
58,"4431 W AUGUSTA BLVD,Chicago,IL","(41.8988393, -87.7367908)"
59,"5951 W LAKE ST,Chicago,IL","(41.8879961, -87.7739753)"
60,"5352 W CHICAGO AVE,Chicago,IL","(41.8951818, -87.76033509999999)"
61,"6020 W FOSTER AVE,Chicago,IL","(41.9759391, -87.7789081)"
62,"231 N PINE AVE,Chicago,IL","(41.88500440000001, -87.76249279999999)"
63,"5610 W LAKE ST,Chicago,IL","(41.888194, -87.76577909999999)"
64,"1215 E 83RD ST,Chicago,IL","(41.7437383, -87.5941856)"
65,"8045 S KENWOOD AVE,Chicago,IL","(41.7485226, -87.5912872)"
66,"2945 N SAWYER AVE,Chicago,IL","(41.9351698, -87.70871489999999)"
67,"3516 W SCHOOL ST,Chicago,IL","(41.9412821, -87.71524649999999)"
68,"4707 W MARQUETTE RD,Chicago,IL","(41.7707098, -87.7395655)"
69,"4920 S THROOP ST,Chicago,IL","(41.8044432, -87.6575739)"
70,"3333 W PETERSON AVE,Chicago,IL","(41.9900488, -87.71312329999999)"
71,"6656 S NORMAL BL,Chicago,IL","(41.7731916, -87.63682109999999)"
72,"6114 W NORTH AVE,Chicago,IL","(41.90948179999999, -87.7785488)"
73,"2440 S LEAVITT ST,Chicago,IL","(41.8472192, -87.680601)"
74,"2827 W ARTHINGTON ST,Chicago,IL","(41.870131, -87.6971349)"
75,"10441 S LONGWOOD DR,Chicago,IL","(41.7031778, -87.6708424)"
76,"10354 S CHARLES ST,Chicago,IL","(41.705373, -87.65851459999999)"
77,"2022 W CERMAK RD,Chicago,IL","(41.8521615, -87.67688299999999)"
78,"2828 N KILBOURN AVE,Chicago,IL","(41.9326996, -87.73987790000001)"
79,"7650 S WOLCOTT AVE,Chicago,IL","(41.75460959999999, -87.67149739999999)"
80,"1140 W 66TH ST,Chicago,IL","(41.774826, -87.65379779999999)"
81,"4220 N RICHMOND ST,Chicago,IL","(41.9581759, -87.7026015)"
82,"517 W WISCONSIN ST,Chicago,IL","(41.9164587, -87.6417884)"
83,"10650 S LONGWOOD DR,Chicago,IL","(41.6996246, -87.6712012)"
84,"6445 W STRONG ST,Chicago,IL","(41.9699408, -87.790275)"
85,"5255 S STATE ST,Chicago,IL","(41.7990167, -87.6248351)"
86,"5025 N LARAMIE AVE,Chicago,IL","(41.9720396, -87.75681850000001)"
87,"6156 S DORCHESTER AVE,Chicago,IL","(41.782694, -87.59165899999999)"
88,"25 W 47TH ST,Chicago,IL","(41.8092041, -87.62715899999999)"
89,"3151 W WALNUT ST,Chicago,IL","(41.8851078, -87.70488879999999)"
90,"1725 N SPRINGFIELD AVE,Chicago,IL","(41.912869, -87.7239692)"
91,"4257 N TRIPP AVE,Chicago,IL","(41.958895, -87.733679)"
92,"3020 N OAK PARK AVE,Chicago,IL","(41.9352459, -87.7960202)"
93,"3730 N OAKLEY AVE,Chicago,IL","(41.9494917, -87.6865742)"
94,"2456 N MANGO AVE,Chicago,IL","(41.924838, -87.77026599999999)"
95,"10115 S PRAIRIE AVE,Chicago,IL","(41.71052479999999, -87.6169857)"
96,"3760 N PINE GROVE AVE,Chicago,IL","(41.9511593, -87.6475437)"
97,"8930 S MUSKEGON AVE,Chicago,IL","(41.7330945, -87.5555985)"
98,"4215 W WEST END AVE,Chicago,IL","(41.8829556, -87.73127629999999)"
99,"6803 N CAMPBELL AVE,Chicago,IL","(42.0052347, -87.69231599999999)"
100,"3030 W ARTHINGTON ST,Chicago,IL","(41.8703061, -87.7023)"
101,"2460 W 102ND ST,Chicago,IL","(41.7082007, -87.68315729999999)"
102,"9356 S JUSTINE ST,Chicago,IL","(41.7232858, -87.661833)"
103,"9916 S WALDEN PKWY,Chicago,IL","(41.713303, -87.6679798)"
104,"1438 W OHIO ST,Chicago,IL","(41.892473, -87.66381439999999)"
105,"427 E 45TH ST,Chicago,IL","(41.8127769, -87.61524299999999)"
106,"5641 S KENWOOD AVE,Chicago,IL","(41.7922491, -87.5932457)"
107,"9101 S EUCLID AVE,Chicago,IL","(41.729207, -87.5763834)"
108,"2318 N LAVERGNE AVE,Chicago,IL","(41.9228767, -87.751605)"
109,"1800 W 115TH ST,Chicago,IL","(41.6847207, -87.6670141)"
110,"1420 W GRACE ST,Chicago,IL","(41.9509477, -87.6650058)"
111,"6751 W 63RD PL,Chicago,IL","(41.7763365, -87.789709)"
112,"346 W 104TH ST,Chicago,IL","(41.7067469, -87.6328467)"
113,"6237 N WHIPPLE ST,Chicago,IL","(41.9950262, -87.7053763)"
114,"3939 W 79TH ST,Chicago,IL","(41.7487644, -87.7206719)"
115,"3939 W 79TH ST,Chicago,IL","(41.7487644, -87.7206719)"
116,"1978 W 111TH ST,Chicago,IL","(41.6919429, -87.67093969999999)"
117,"3601 W ARTHINGTON ST,Chicago,IL","(41.8699144, -87.717038)"
118,"7050 S MAY ST,Chicago,IL","(41.7657146, -87.6534178)"
119,"1241 W 58TH ST,Chicago,IL","(41.7884892, -87.65648929999999)"
120,"6710 N WASHTENAW AVE,Chicago,IL","(42.0039664, -87.6979523)"
121,"3044 S BONFIELD ST,Chicago,IL","(41.83923069999999, -87.65377289999999)"
122,"6646 S UNIVERSITY AVE,Chicago,IL","(41.773573, -87.5984797)"
123,"7355 S JEFFERY BL,Chicago,IL","(41.7611357, -87.57607039999999)"
124,"2710 E 89TH ST,Chicago,IL","(41.7344345, -87.55750069999999)"
125,"9729 S YATES AVE,Chicago,IL","(41.71809710000001, -87.5643236)"
126,"7736 S BURNHAM AVE,Chicago,IL","(41.7548658, -87.55777669999999)"
127,"1246 W 92ND ST,Chicago,IL","(41.7270772, -87.654913)"
128,"3285 N ELSTON AVE,Chicago,IL","(41.941243, -87.699535)"
129,"4251 N CLARENDON AVE,Chicago,IL","(41.9600422, -87.6492392)"
130,"2723 N FAIRFIELD AVE,Chicago,IL","(41.931012, -87.69604269999999)"
131,"8622 W CATALPA AVE,Chicago,IL","(41.9794596, -87.8434879)"
132,"3800 N NEW ENGLAND AVE,Chicago,IL","(41.949675, -87.7989339)"
133,"3700 S LOWE AVE,Chicago,IL","(41.8266894, -87.6426221)"
134,"10740 S CALHOUN AVE,Chicago,IL","(41.6997402, -87.5623159)"
135,"3501 S RICHMOND ST,Chicago,IL","(41.8297016, -87.69833779999999)"
136,"3825 S WASHTENAW AVE,Chicago,IL","(41.8239989, -87.6918618)"
