,Address,Location
0,"4355 N LINDER AVE,Chicago,IL","(41.9602551, -87.7643696)"
1,"2820 E 98TH ST,Chicago,IL","(41.7176475, -87.5558444)"
2,"2554 W 113TH ST,Chicago,IL","(41.6881033, -87.6856313)"
3,"2447 W GRANVILLE AVE,Chicago,IL","(41.9939043, -87.6918452)"
4,"4120 W TAYLOR ST,Chicago,IL","(41.8692825, -87.7289878)"
5,"900 W GARFIELD BL,Chicago,IL","(41.7945273, -87.64799269999999)"
6,"5014 W 50TH ST,Chicago,IL","(41.8020711, -87.748488)"
7,"30 E 112TH PL,Chicago,IL","(41.6898727, -87.62182279999999)"
8,"2100 W LAWRENCE AVE,Chicago,IL","(41.9687156, -87.6816194)"
9,"4950 N AVERS AVE,Chicago,IL","(41.9714449, -87.7250639)"
10,"2620 W HIRSCH ST,Chicago,IL","(41.9071048, -87.6928841)"
11,"1345 N ROCKWELL ST,Chicago,IL","(41.9061141, -87.6920203)"
12,"9746 S MORGAN ST,Chicago,IL","(41.7162741, -87.64861669999999)"
13,"6420 S UNIVERSITY AVE,Chicago,IL","(41.7785315, -87.5980675)"
14,"948 W 51ST ST,Chicago,IL","(41.80153, -87.6496172)"
15,"607 W 92ND ST,Chicago,IL","(41.7270029, -87.6387537)"
16,"3801 W 45TH ST,Chicago,IL","(41.8116122, -87.71932059999999)"
17,"1722 N ASHLAND AVE,Chicago,IL","(41.9131171, -87.6678294)"
18,"2031 S PEORIA ST,Chicago,IL","(41.8549265, -87.6482018)"
19,"1034 N WELLS ST,Chicago,IL","(41.9016572, -87.63512539999999)"
20,"1762 W DIVERSEY PKWY,Chicago,IL","(41.932623, -87.673238)"
21,"2701 S SHIELDS AVE,Chicago,IL","(41.84345980000001, -87.6350824)"
22,"410 N MONTICELLO AVE,Chicago,IL","(41.8886904, -87.71739319999999)"
23,"9239 S JEFFERY AVE,Chicago,IL","(41.7277266, -87.574951)"
24,"6621 N WESTERN AVE,Chicago,IL","(42.0020385, -87.6899365)"
25,"7710 N PAULINA ST,Chicago,IL","(42.0215734, -87.67304999999999)"
26,"8215 S EUCLID AVE,Chicago,IL","(41.745497, -87.57669700000001)"
27,"5531 S DR MARTIN LUTHER KING,Chicago,IL","(41.7933831, -87.61548909999999)"
28,"9130 S UNIVERSITY AVE,Chicago,IL","(41.7285417, -87.59661419999999)"
29,"3535 E 114TH ST,Chicago,IL","(41.6874945, -87.53819229999999)"
30,"901 N CLARK ST,Chicago,IL","(41.8997952, -87.6313313)"
31,"2521 S WASHTENAW AVE,Chicago,IL","(41.8458692, -87.6926435)"
32,"4540 N CAMPBELL AVE,Chicago,IL","(41.9641843, -87.69190449999999)"
33,"4055 W ARTHINGTON ST,Chicago,IL","(41.8695716, -87.7270826)"
34,"901 W OAKDALE AVE,Chicago,IL","(41.9353998, -87.65154509999999)"
35,"2333 W SUNNYSIDE AVE,Chicago,IL","(41.96281219999999, -87.6863938)"
36,"936 N ASHLAND AVE,Chicago,IL","(41.8991219, -87.668071)"
37,"667 W ROSCOE ST,Chicago,IL","(41.943389, -87.64713499999999)"
38,"3770 S WENTWORTH AVE,Chicago,IL","(41.8255448, -87.631754)"
39,"6950 S SANGAMON ST,Chicago,IL","(41.76725099999999, -87.6484681)"
40,"5625 S MOBILE AVE,Chicago,IL","(41.7902142, -87.77902429999999)"
41,"13407 S AVE M,Chicago,IL","(41.7027286, -87.5377061)"
42,"8223 S PRINCETON AVE,Chicago,IL","(41.7446685, -87.6319177)"
43,"7326 S RACINE AVE,Chicago,IL","(41.760639, -87.65432299999999)"
44,"4233 W 65TH ST,Chicago,IL","(41.7744601, -87.7288495)"
45,"1425 N TRIPP AVE,Chicago,IL","(41.9068482, -87.73216359999999)"
46,"400 W 123RD ST,Chicago,IL","(41.6706441, -87.63207609999999)"
47,"11941 S PARNELL AVE,Chicago,IL","(41.676818, -87.63524799999999)"
48,"6700 N. WHIPPLE ST,Chicago,IL","(42.0027514, -87.70635349999999)"
49,"409 W 80TH ST,Chicago,IL","(41.7485007, -87.63552639999999)"
50,"907 N WESTERN AVE,Chicago,IL","(41.8978158, -87.68654570000001)"
51,"3301 W FRANKLIN BL,Chicago,IL","(41.8900236, -87.7098659)"
52,"2021 W FULTON ST,Chicago,IL","(41.8865239, -87.6778928)"
53,"4909 W DIVISION ST,Chicago,IL","(41.90199459999999, -87.7492541)"
54,"902 E 133RD PL,Chicago,IL","(41.6533682, -87.6016674)"
55,"11533 S ADA ST,Chicago,IL","(41.6840389, -87.6548655)"
56,"1120 W 122ND ST,Chicago,IL","(41.672228, -87.6498973)"
57,"1136 W 122ND ST,Chicago,IL","(41.67273549999999, -87.650342)"
58,"2815 S KOMENSKY AVE,Chicago,IL","(41.8400396, -87.725269)"
59,"211 S LAFLIN ST,Chicago,IL","(41.87824740000001, -87.6636746)"
60,"1900 W 23RD ST,Chicago,IL","(41.8507599, -87.6747157)"
61,"1425 N DAMEN AVE,Chicago,IL","(41.9080486, -87.676738)"
62,"1747 W NELSON ST,Chicago,IL","(41.9367204, -87.6728064)"
63,"6950 N HIAWATHA AVE,Chicago,IL","(42.0072254, -87.778526)"
64,"6950 N HIAWATHA AVE,Chicago,IL","(42.0072254, -87.778526)"
65,"2710 S DEARBORN ST,Chicago,IL","(41.8441791, -87.62886)"
66,"2710 S DEARBORN ST,Chicago,IL","(41.8441791, -87.62886)"
67,"3225 S RACINE AVE,Chicago,IL","(41.8353553, -87.65559929999999)"
68,"1122 W 34TH PL,Chicago,IL","(41.8319671, -87.6546086)"
69,"4630 N MILWAUKEE AVE,Chicago,IL","(41.9646502, -87.75836249999999)"
70,"5001 N LEAVITT ST,Chicago,IL","(41.972328, -87.6841544)"
71,"6551 S WOLCOTT AVE,Chicago,IL","(41.77422600000001, -87.67101199999999)"
72,"3325 E 108TH ST,Chicago,IL","(41.6989526, -87.54351369999999)"
73,"5644 N PULASKI RD,Chicago,IL","(41.9841393, -87.7286602)"
74,"2914 N LEAVITT ST,Chicago,IL","(41.9347229, -87.68353549999999)"
75,"7340 S EAST END AVE,Chicago,IL","(41.7621703, -87.58372039999999)"
76,"6657 S KIMBARK AVE,Chicago,IL","(41.773523, -87.594026)"
77,"6206 S RACINE AVE,Chicago,IL","(41.7809332, -87.65515549999999)"
78,"4414 S EVANS AVE,Chicago,IL","(41.8140835, -87.6087663)"
79,"4511 S EVANS AVE,Chicago,IL","(41.812723, -87.6078149)"
80,"2534 N GREENVIEW AVE,Chicago,IL","(41.9282184, -87.6664639)"
81,"7025 S PRINCETON AVE,Chicago,IL","(41.7667468, -87.6318469)"
82,"1839 N RICHMOND ST,Chicago,IL","(41.9147452, -87.6997978)"
83,"2620 W TOUHY AVE,Chicago,IL","(42.012417, -87.69596899999999)"
84,"3050 W TOUHY AVE,Chicago,IL","(42.0121989, -87.7062863)"
85,"6122 N. CALIFORNIA,Chicago,IL","(41.9929569, -87.6997892)"
86,"1434 N PARKSIDE AVE,Chicago,IL","(41.9064241, -87.7676047)"
87,"2641 S CALUMET AVE,Chicago,IL","(41.8444179, -87.61848169999999)"
88,"10 W 35TH ST,Chicago,IL","(41.8313786, -87.627231)"
89,"2728 S KOSTNER AVE,Chicago,IL","(41.8412173, -87.7344897)"
90,"4246 N HERMITAGE AVE,Chicago,IL","(41.9592537, -87.67234169999999)"
