Address,Location,Latitude,Longitude
49 E 95TH ST,"(41.7217117, -87.62223329999999)",41.7217117, -87.62223329999999
4651 W MADISON ST,"(41.880139, -87.7421358)",41.880139, -87.7421358
5410 S STATE ST,"(41.795957, -87.626323)",41.795957, -87.626323
11250 S ADA ST,"(41.6884623, -87.6558601)",41.6884623, -87.6558601
7535 S DOBSON AVE,"(41.7575678, -87.5992536)",41.7575678, -87.5992536
1919 N SEMINARY AVE,"(41.9164818, -87.6550877)",41.9164818, -87.6550877
10810 S AVE H,"(41.6985287, -87.53319479999999)",41.6985287, -87.53319479999999
1301 W 14TH ST,"(41.8629807, -87.6596682)",41.8629807, -87.6596682
3300 N CAMPBELL AVE,"(41.9421323, -87.6914608)",41.9421323, -87.6914608
8959 S BEVERLY AVE,"(41.730453, -87.6679606)",41.730453, -87.6679606
2851 N SEMINARY AVE,"(41.93397239999999, -87.6558124)",41.93397239999999, -87.6558124
2257 E 71ST ST,"(41.7660249, -87.5692242)",41.7660249, -87.5692242
2133 N MCVICKER AVE,"(41.918921, -87.776404)",41.918921, -87.776404
3630 S WELLS ST,"(41.8278882, -87.6329602)",41.8278882, -87.6329602
5510 W FULLERTON AVE,"(41.9242896, -87.76403359999999)",41.9242896, -87.76403359999999
5235 S CORNELL AVE,"(41.8002895, -87.5849758)",41.8002895, -87.5849758
3545 W FULTON AVE,"(41.8859035, -87.7154043)",41.8859035, -87.7154043
5039 N KIMBALL AVE,"(41.9733858, -87.71350439999999)",41.9733858, -87.71350439999999
4929 N SAWYER AVE,"(41.9711021, -87.7094221)",41.9711021, -87.7094221
2625 N ORCHARD ST,"(41.9296481, -87.6459706)",41.9296481, -87.6459706
630 E 131ST ST,"(41.6574136, -87.6074687)",41.6574136, -87.6074687
2941 N WASHTENAW AVE,"(41.9351308, -87.6952606)",41.9351308, -87.6952606
2234 W 115TH ST,"(41.6841712, -87.677566)",41.6841712, -87.677566
1251 N PARKSIDE AVE,"(41.9036405, -87.76667119999999)",41.9036405, -87.76667119999999
515 S WASHTENAW AVE,"(41.8747358, -87.693715)",41.8747358, -87.693715
1340 W 71ST ST,"(41.7649924, -87.65798830000001)",41.7649924, -87.65798830000001
1920 N HAMLIN AVE,"(41.9161874, -87.72246299999999)",41.9161874, -87.72246299999999
6200 W BLOOMINGDALE AVE,"(41.9133813, -87.78027480000002)",41.9133813, -87.78027480000002
5110 N DAMEN AVE,"(41.9750909, -87.6803091)",41.9750909, -87.6803091
4770 S DORCHESTER AVE,"(41.8083167, -87.5922259)",41.8083167, -87.5922259
1148 N HONORE ST,"(41.9024109, -87.67430440000001)",41.9024109, -87.67430440000001
3748 S PRAIRIE AVE,"(41.8268008, -87.6204427)",41.8268008, -87.6204427
6315 S CLAREMONT AVE,"(41.77816680000001, -87.6822552)",41.77816680000001, -87.6822552
5233 N ASHLAND AVE,"(41.9770899, -87.669264)",41.9770899, -87.669264
2032 N CLYBOURN,"(41.918509, -87.6602796)",41.918509, -87.6602796
3750 E 112TH ST,"(41.6922803, -87.5319701)",41.6922803, -87.5319701
3121 N PULASKI RD,"(41.9379315, -87.72677089999999)",41.9379315, -87.72677089999999
3121 N PULASKI RD,"(41.9379315, -87.72677089999999)",41.9379315, -87.72677089999999
900 W WILSON AVE,"(41.9660193, -87.6521886)",41.9660193, -87.6521886
11144 S ST LAWRENCE AVE,"(41.6916659, -87.6083809)",41.6916659, -87.6083809
4901 S KILBOURN AVE,"(41.80400969999999, -87.7357124)",41.80400969999999, -87.7357124
1119 E 46TH ST,"(41.8109791, -87.59842119999999)",41.8109791, -87.59842119999999
950 W 33RD PL,"(41.8340484, -87.6500959)",41.8340484, -87.6500959
3309 S SHIELDS AVE,"(41.83417439999999, -87.6350089)",41.83417439999999, -87.6350089
911 W 32ND PL,"(41.8356259, -87.6490097)",41.8356259, -87.6490097
4433 S ST LAWRENCE,"(41.814061, -87.6109949)",41.814061, -87.6109949
2111 W ESTES AVE,"(42.0111743, -87.68441969999999)",42.0111743, -87.68441969999999
5345 W CONGRESS PKWY,"(41.8735966, -87.7592027)",41.8735966, -87.7592027
1250 W LEXINGTON ST,"(41.8722099, -87.6588229)",41.8722099, -87.6588229
8300 S ST LOUIS AVE,"(41.7418901, -87.7099618)",41.7418901, -87.7099618
3345 W 83RD ST,"(41.7421401, -87.7067141)",41.7421401, -87.7067141
8505 S INGLESIDE AVE,"(41.7400343, -87.6009832)",41.7400343, -87.6009832
4807 W GUNNISON ST,"(41.9688535, -87.74817329999999)",41.9688535, -87.74817329999999
4237 S WABASH AVE,"(41.8172197, -87.6246682)",41.8172197, -87.6246682
4639 N KENMORE AVE,"(41.9664747, -87.6558529)",41.9664747, -87.6558529
3546 W ADDISON ST,"(41.9467205, -87.7169804)",41.9467205, -87.7169804
406 W WINNECONNA PKWY,"(41.753072, -87.63495499999999)",41.753072, -87.63495499999999
3500 N HOYNE AVE,"(41.9453833, -87.6811506)",41.9453833, -87.6811506
4431 W AUGUSTA BLVD,"(41.8988393, -87.7367908)",41.8988393, -87.7367908
5951 W LAKE ST,"(41.8879961, -87.7739753)",41.8879961, -87.7739753
5352 W CHICAGO AVE,"(41.8951818, -87.76033509999999)",41.8951818, -87.76033509999999
6020 W FOSTER AVE,"(41.9759391, -87.7789081)",41.9759391, -87.7789081
231 N PINE AVE,"(41.88500440000001, -87.76249279999999)",41.88500440000001, -87.76249279999999
5610 W LAKE ST,"(41.888194, -87.76577909999999)",41.888194, -87.76577909999999
1215 E 83RD ST,"(41.7437383, -87.5941856)",41.7437383, -87.5941856
