Name,Type,Address,total,bike ped,serious/fatal,youth,speed,2014Rank,Location,Latitude,Longitude
Abbott,Park,49 E 95TH ST,394.0,33.0,4.0,62.0,105.0,32.0,"(41.7217117, -87.62223329999999)",41.7217117, -87.62223329999999
Acad Of Scholastic,School,4651 W MADISON ST,172.0,5.0,4.0,44.0,50.0,241.0,"(41.880139, -87.7421358)",41.880139, -87.7421358
Ace Tech Charter,School,5410 S STATE ST,180.0,14.0,7.0,36.0,55.0,228.0,"(41.795957, -87.626323)",41.795957, -87.626323
Ada,Park,11250 S ADA ST,36.0,3.0,0.0,13.0,6.0,1218.0,"(41.6884623, -87.6558601)",41.6884623, -87.6558601
Adams,Park,7535 S DOBSON AVE,71.0,0.0,5.0,15.0,29.0,744.0,"(41.7575678, -87.5992536)",41.7575678, -87.5992536
Adams,Park,1919 N SEMINARY AVE,138.0,15.0,0.0,8.0,34.0,552.0,"(41.9164818, -87.6550877)",41.9164818, -87.6550877
Addams,School,10810 S AVE H,32.0,2.0,1.0,8.0,9.0,1169.0,"(41.6985287, -87.53319479999999)",41.6985287, -87.53319479999999
Addams,Park,1301 W 14TH ST,110.0,5.0,3.0,15.0,25.0,686.0,"(41.8629807, -87.6596682)",41.8629807, -87.6596682
Addams,Park,1301 W 14TH ST,110.0,5.0,3.0,15.0,25.0,686.0,"(41.8629807, -87.6596682)",41.8629807, -87.6596682
Advantage Acad_Devry,School,3300 N CAMPBELL AVE,65.0,9.0,2.0,6.0,14.0,1032.0,"(41.9421323, -87.6914608)",41.9421323, -87.6914608
Agape Love Acad,School,8959 S BEVERLY AVE,8.0,1.0,0.0,1.0,3.0,1473.0,"(41.730453, -87.6679606)",41.730453, -87.6679606
Agassiz,School,2851 N SEMINARY AVE,157.0,11.0,0.0,4.0,35.0,530.0,"(41.93397239999999, -87.6558124)",41.93397239999999, -87.6558124
Ahadi Early Learning Ctr,School,2257 E 71ST ST,55.0,4.0,0.0,6.0,21.0,1049.0,"(41.7660249, -87.5692242)",41.7660249, -87.5692242
Aiello,Park,2133 N MCVICKER AVE,159.0,9.0,1.0,30.0,43.0,349.0,"(41.918921, -87.776404)",41.918921, -87.776404
Air Force HS,School,3630 S WELLS ST,28.0,2.0,2.0,0.0,11.0,1323.0,"(41.8278882, -87.6329602)",41.8278882, -87.6329602
A_Karrasel,School,5510 W FULLERTON AVE,257.0,9.0,7.0,53.0,71.0,106.0,"(41.9242896, -87.76403359999999)",41.9242896, -87.76403359999999
Akiba Schechter Day Scho,School,5235 S CORNELL AVE,124.0,8.0,2.0,24.0,38.0,497.0,"(41.8002895, -87.5849758)",41.8002895, -87.5849758
Al Raby,School,3545 W FULTON AVE,177.0,12.0,9.0,26.0,43.0,319.0,"(41.8859035, -87.7154043)",41.8859035, -87.7154043
Albany Park Acad,School,5039 N KIMBALL AVE,111.0,7.0,2.0,13.0,26.0,681.0,"(41.9733858, -87.71350439999999)",41.9733858, -87.71350439999999
Albany Park Multicultural,School,4929 N SAWYER AVE,152.0,14.0,2.0,18.0,40.0,423.0,"(41.9711021, -87.7094221)",41.9711021, -87.7094221
Alcott,School,2625 N ORCHARD ST,226.0,13.0,2.0,13.0,38.0,306.0,"(41.9296481, -87.6459706)",41.9296481, -87.6459706
Aldridge,School,630 E 131ST ST,38.0,7.0,3.0,15.0,10.0,1130.0,"(41.6574136, -87.6074687)",41.6574136, -87.6074687
Algonquin,Park,2941 N WASHTENAW AVE,55.0,3.0,0.0,4.0,10.0,1185.0,"(41.9351308, -87.6952606)",41.9351308, -87.6952606
Almond,Park,2234 W 115TH ST,7.0,0.0,0.0,3.0,1.0,1478.0,"(41.6841712, -87.677566)",41.6841712, -87.677566
Alpha Omega Ministries,School,1251 N PARKSIDE AVE,147.0,11.0,6.0,17.0,44.0,416.0,"(41.9036405, -87.76667119999999)",41.9036405, -87.76667119999999
Altgeld,Park,515 S WASHTENAW AVE,86.0,1.0,0.0,0.0,17.0,1012.0,"(41.8747358, -87.693715)",41.8747358, -87.693715
