Latitude,Location,Longitude,ZIP
41.866585283,"(41.866585283, -87.698962375)",-87.698962375,60612
41.756374355,"(41.756374355, -87.633816585)",-87.633816585,60620
41.690701951,"(41.690701951, -87.664122385)",-87.664122385,60643
41.953329545,"(41.953329545, -87.764267264)",-87.764267264,60641
41.924128491,"(41.924128491, -87.762993999)",-87.762993999,60639
41.938181259000004,"(41.938181259000004, -87.787655485)",-87.787655485,60634
41.880938186,"(41.880938186, -87.71789844899997)",-87.71789844899997,60624
41.955725645,"(41.955725645, -87.76693812299999)",-87.76693812299999,60634
41.691025456,"(41.691025456, -87.66424769)",-87.66424769,60643
41.96226556,"(41.96226556, -87.684566996)",-87.684566996,60625
41.939258231,"(41.939258231, -87.72278142799999)",-87.72278142799999,60618
41.722818321999995,"(41.722818321999995, -87.537567465)",-87.537567465,60617
41.721878498,"(41.721878498, -87.621354328)",-87.621354328,60619
41.990042674,"(41.990042674, -87.745334319)",-87.745334319,60646
41.72304462,"(41.72304462, -87.53704075799999)",-87.53704075799999,60617
41.989807669,"(41.989807669, -87.74622580399998)",-87.74622580399998,60646
41.890037755,"(41.890037755, -87.620179034)",-87.620179034,60611
41.896779126999995,"(41.896779126999995, -87.628781249)",-87.628781249,60654
41.926207903000005,"(41.926207903000005, -87.668328977)",-87.668328977,60614
41.720756806,"(41.720756806, -87.53543678700001)",-87.53543678700001,60617
41.890122353,"(41.890122353, -87.620461395)",-87.620461395,60611
41.877189405,"(41.877189405, -87.77036950200001)",-87.77036950200001,60644
41.840812626,"(41.840812626, -87.64649261)",-87.64649261,60608
41.903817103,"(41.903817103, -87.687194998)",-87.687194998,60622
41.895448621,"(41.895448621, -87.727658471)",-87.727658471,60651
41.873824205,"(41.873824205, -87.62774075899998)",-87.62774075899998,60605
41.793702249,"(41.793702249, -87.687244272)",-87.687244272,60629
41.939699007,"(41.939699007, -87.725074339)",-87.725074339,60618
41.918231266,"(41.918231266, -87.76233705799999)",-87.76233705799999,60639
41.961149383,"(41.961149383, -87.69696403399998)",-87.69696403399998,60618
41.860407864,"(41.860407864, -87.69867209899998)",-87.69867209899998,60608
41.80293879,"(41.80293879, -87.722181792)",-87.722181792,60632
41.890910096,"(41.890910096, -87.61934752100002)",-87.61934752100002,60611
41.97588404,"(41.97588404, -87.704801123)",-87.704801123,60625
41.936950841999995,"(41.936950841999995, -87.785740891)",-87.785740891,60634
41.967902328,"(41.967902328, -87.74907897700001)",-87.74907897700001,60630
41.756158269000004,"(41.756158269000004, -87.633586263)",-87.633586263,60620
41.873581418,"(41.873581418, -87.76476196799999)",-87.76476196799999,60644
41.883191521,"(41.883191521, -87.6641147)",-87.6641147,60607
41.853384939,"(41.853384939, -87.68552968200001)",-87.68552968200001,60608
41.894503309,"(41.894503309, -87.726204522)",-87.726204522,60624
41.87332924,"(41.87332924, -87.764460415)",-87.764460415,60644
41.946607822,"(41.946607822, -87.69265244)",-87.69265244,60618
41.876598942,"(41.876598942, -87.706142679)",-87.706142679,60612
41.945962587,"(41.945962587, -87.688383964)",-87.688383964,60618
41.884517408,"(41.884517408, -87.66674834700001)",-87.66674834700001,60607
41.749715177,"(41.749715177, -87.719598779)",-87.719598779,60652
41.923614583,"(41.923614583, -87.78247949)",-87.78247949,60639
41.992090875,"(41.992090875, -87.74818249)",-87.74818249,60646
41.707576903,"(41.707576903, -87.529848261)",-87.529848261,60617
41.795332775,"(41.795332775, -87.65504097899998)",-87.65504097899998,60609
41.939040256,"(41.939040256, -87.722645911)",-87.722645911,60618
41.75749704,"(41.75749704, -87.631833328)",-87.631833328,60620
41.764390956999996,"(41.764390956999996, -87.70972842)",-87.70972842,60629
41.954540866,"(41.954540866, -87.65857252100002)",-87.65857252100002,60613
41.902929409,"(41.902929409, -87.68576188)",-87.68576188,60622
41.769276221,"(41.769276221, -87.703062595)",-87.703062595,60629
41.89522799,"(41.89522799, -87.727715334)",-87.727715334,60651
41.990281914,"(41.990281914, -87.70824462600002)",-87.70824462600002,60659
41.954092657,"(41.954092657, -87.696596502)",-87.696596502,60618
41.926153343,"(41.926153343, -87.67093808700001)",-87.67093808700001,60614
41.938988391,"(41.938988391, -87.74312142299999)",-87.74312142299999,60641
41.794154584,"(41.794154584, -87.72333321299999)",-87.72333321299999,60632
41.911684016,"(41.911684016, -87.66757343)",-87.66757343,60622
42.000259510999996,"(42.000259510999996, -87.689802909)",-87.689802909,60645
41.793079668000004,"(41.793079668000004, -87.724956656)",-87.724956656,60632
41.793300511999995,"(41.793300511999995, -87.72479036200001)",-87.72479036200001,60632
41.80217403,"(41.80217403, -87.684106558)",-87.684106558,60609
41.93700435,"(41.93700435, -87.786036722)",-87.786036722,60634
41.96785573,"(41.96785573, -87.76392864399998)",-87.76392864399998,60630
41.938377159,"(41.938377159, -87.789118713)",-87.789118713,60634
41.85250181,"(41.85250181, -87.662810318)",-87.662810318,60608
41.75038453,"(41.75038453, -87.721794539)",-87.721794539,60652
41.953074826,"(41.953074826, -87.782825538)",-87.782825538,60634
41.750212593,"(41.750212593, -87.68742106299999)",-87.68742106299999,60652
41.801012881,"(41.801012881, -87.686070605)",-87.686070605,60632
41.884514197,"(41.884514197, -87.667042094)",-87.667042094,60607
41.975605302,"(41.975605302, -87.731669795)",-87.731669795,60630
41.750546198,"(41.750546198, -87.722092656)",-87.722092656,60652
41.92410633,"(41.92410633, -87.74802266399998)",-87.74802266399998,60639
41.877242774,"(41.877242774, -87.702952689)",-87.702952689,60612
41.896556106999995,"(41.896556106999995, -87.629025904)",-87.629025904,60654
41.793492646,"(41.793492646, -87.61187597)",-87.61187597,60637
41.75874077,"(41.75874077, -87.57851859)",-87.57851859,60619
41.794045046,"(41.794045046, -87.72303636299999)",-87.72303636299999,60632
41.969247149,"(41.969247149, -87.76401945100002)",-87.76401945100002,60630
41.974332655,"(41.974332655, -87.72834702200001)",-87.72834702200001,60625
41.903878079,"(41.903878079, -87.686902742)",-87.686902742,60622
41.873849599,"(41.873849599, -87.627447875)",-87.627447875,60605
41.801401913,"(41.801401913, -87.72354459799999)",-87.72354459799999,60632
41.760005505,"(41.760005505, -87.576312983)",-87.576312983,60649
41.663174059,"(41.663174059, -87.63352045200001)",-87.63352045200001,60628
41.923831699000004,"(41.923831699000004, -87.78264224200001)",-87.78264224200001,60639
41.866364024,"(41.866364024, -87.69914296600003)",-87.69914296600003,60612
41.853572622,"(41.853572622, -87.685827855)",-87.685827855,60608
41.721657133,"(41.721657133, -87.621462899)",-87.621462899,60619
41.953875265,"(41.953875265, -87.69620408899998)",-87.69620408899998,60618
41.823188825,"(41.823188825, -87.677348795)",-87.677348795,60609
41.851929523,"(41.851929523, -87.68464766299999)",-87.68464766299999,60608
41.691202396,"(41.691202396, -87.71721139899998)",-87.71721139899998,60655
