,Location,ZIP
0,"(41.866585283, -87.698962375)",60612
1,"(41.756374355, -87.633816585)",60620
2,"(41.690701951, -87.664122385)",60643
3,"(41.953329545, -87.764267264)",60641
4,"(41.924128491, -87.762993999)",60639
5,"(41.938181259000004, -87.787655485)",60634
6,"(41.880938186, -87.71789844899997)",60624
7,"(41.955725645, -87.76693812299999)",60634
8,"(41.691025456, -87.66424769)",60643
9,"(41.96226556, -87.684566996)",60625
10,"(41.939258231, -87.72278142799999)",60618
11,"(41.722818321999995, -87.537567465)",60617
12,"(41.721878498, -87.621354328)",60619
13,"(41.990042674, -87.745334319)",60646
14,"(41.72304462, -87.53704075799999)",60617
15,"(41.989807669, -87.74622580399998)",60646
16,"(41.890037755, -87.620179034)",60611
17,"(41.896779126999995, -87.628781249)",60654
18,"(41.926207903000005, -87.668328977)",60614
19,"(41.720756806, -87.53543678700001)",60617
20,"(41.890122353, -87.620461395)",60611
21,"(41.877189405, -87.77036950200001)",60644
22,"(41.840812626, -87.64649261)",60608
23,"(41.903817103, -87.687194998)",60622
24,"(41.895448621, -87.727658471)",60651
25,"(41.873824205, -87.62774075899998)",60605
26,"(41.793702249, -87.687244272)",60629
27,"(41.939699007, -87.725074339)",60618
28,"(41.918231266, -87.76233705799999)",60639
29,"(41.961149383, -87.69696403399998)",60618
30,"(41.860407864, -87.69867209899998)",60608
31,"(41.80293879, -87.722181792)",60632
32,"(41.890910096, -87.61934752100002)",60611
33,"(41.97588404, -87.704801123)",60625
34,"(41.936950841999995, -87.785740891)",60634
35,"(41.967902328, -87.74907897700001)",60630
36,"(41.756158269000004, -87.633586263)",60620
37,"(41.873581418, -87.76476196799999)",60644
38,"(41.883191521, -87.6641147)",60607
39,"(41.853384939, -87.68552968200001)",60608
40,"(41.894503309, -87.726204522)",60624
41,"(41.87332924, -87.764460415)",60644
42,"(41.946607822, -87.69265244)",60618
43,"(41.876598942, -87.706142679)",60612
44,"(41.945962587, -87.688383964)",60618
45,"(41.884517408, -87.66674834700001)",60607
46,"(41.749715177, -87.719598779)",60652
47,"(41.923614583, -87.78247949)",60639
48,"(41.992090875, -87.74818249)",60646
49,"(41.707576903, -87.529848261)",60617
50,"(41.795332775, -87.65504097899998)",60609
51,"(41.939040256, -87.722645911)",60618
52,"(41.75749704, -87.631833328)",60620
53,"(41.764390956999996, -87.70972842)",60629
54,"(41.954540866, -87.65857252100002)",60613
55,"(41.902929409, -87.68576188)",60622
56,"(41.769276221, -87.703062595)",60629
57,"(41.89522799, -87.727715334)",60651
58,"(41.990281914, -87.70824462600002)",60659
59,"(41.954092657, -87.696596502)",60618
60,"(41.926153343, -87.67093808700001)",60614
61,"(41.938988391, -87.74312142299999)",60641
